ip,requests_per_sec,ports,packet_size,protocol,label
10.231.84.12,1288,11,1142,UDP,DDoS
192.168.4.156,22,2,384,UDP,Legit
172.16.88.42,354,6,912,TCP,Bot
10.45.192.11,1044,14,1421,UDP,DDoS
192.168.12.87,14,3,412,TCP,Legit
10.11.22.33,115,4,844,UDP,Bot
172.16.5.109,1189,17,1330,UDP,DDoS
192.168.77.21,41,1,289,TCP,Legit
10.200.5.1,1412,19,1099,UDP,DDoS
172.16.14.99,288,7,756,TCP,Bot
10.5.9.44,812,10,1215,UDP,DDoS
192.168.33.22,34,4,612,UDP,Legit
172.16.2.21,950,13,1104,UDP,DDoS
10.88.77.66,192,5,998,TCP,Bot
192.168.0.105,48,2,540,TCP,Legit
10.4.5.6,1322,18,1488,UDP,DDoS
172.16.44.12,215,8,642,UDP,Bot
192.168.10.10,7,1,310,TCP,Legit
10.111.12.13,889,12,1250,UDP,DDoS
172.16.90.5,391,3,1050,TCP,Bot
192.168.55.4,32,3,688,UDP,Legit
10.1.2.3,1488,20,1399,UDP,DDoS
172.16.0.45,267,6,822,TCP,Bot
192.168.2.200,12,1,450,TCP,Legit
10.55.44.33,1102,9,1410,UDP,DDoS
172.16.101.5,144,4,710,UDP,Bot
192.168.1.15,44,2,215,TCP,Legit
10.99.88.77,1355,16,1050,TCP,DDoS
172.16.22.11,312,5,889,TCP,Bot
192.168.100.1,9,4,580,UDP,Legit
10.66.55.44,1211,15,1345,UDP,DDoS
172.16.33.44,245,7,1022,TCP,Bot
192.168.8.8,18,2,420,TCP,Legit
10.22.11.0,755,11,1180,UDP,DDoS
172.16.7.7,377,8,677,UDP,Bot
192.168.9.9,29,1,390,TCP,Legit
10.33.44.55,1477,19,1490,UDP,DDoS
172.16.8.8,105,3,1088,TCP,Bot
192.168.20.20,38,3,250,UDP,Legit
10.44.33.22,999,14,1222,UDP,DDoS
172.16.12.12,289,6,733,TCP,Bot
192.168.15.15,11,2,555,TCP,Legit
10.123.45.67,1310,17,1444,UDP,DDoS
172.16.55.55,366,4,811,UDP,Bot
192.168.6.6,49,4,477,TCP,Legit
10.9.8.7,820,10,1001,TCP,DDoS
172.16.66.66,155,5,955,TCP,Bot
192.168.22.22,25,1,699,UDP,Legit
10.150.150.150,1133,12,1377,UDP,DDoS
172.16.77.77,202,7,844,UDP,Bot
192.168.5.5,15,2,300,TCP,Legit
10.10.10.10,1401,18,1288,UDP,DDoS
172.16.88.88,388,8,1090,TCP,Bot
192.168.4.4,42,3,611,UDP,Legit
10.255.255.1,1266,15,1499,UDP,DDoS
172.16.99.99,321,6,788,UDP,Bot
192.168.3.3,37,4,522,TCP,Legit
10.16.17.18,1199,11,1311,UDP,DDoS
172.16.111.1,188,3,655,TCP,Bot
192.168.2.2,21,1,433,UDP,Legit
10.19.20.21,799,9,1155,UDP,DDoS
172.16.222.2,277,5,822,UDP,Bot
192.168.1.1,50,2,244,TCP,Legit
10.22.23.24,1422,19,1388,UDP,DDoS
172.16.13.13,311,7,1011,TCP,Bot
192.168.11.11,28,3,488,UDP,Legit
10.25.26.27,933,13,1266,UDP,DDoS
172.16.24.24,166,4,722,TCP,Bot
192.168.12.12,46,4,377,TCP,Legit
10.28.29.30,1344,16,1455,UDP,DDoS
172.16.25.25,233,6,944,UDP,Bot
192.168.13.13,19,1,511,TCP,Legit
10.31.32.33,1055,12,1177,UDP,DDoS
172.16.26.26,388,8,877,TCP,Bot
192.168.14.14,35,2,633,UDP,Legit
10.34.35.36,1222,15,1355,UDP,DDoS
172.16.27.27,111,3,1033,TCP,Bot
192.168.16.16,13,3,266,TCP,Legit
10.37.38.39,877,10,1233,TCP,DDoS
172.16.28.28,299,5,766,UDP,Bot
192.168.17.17,47,4,588,TCP,Legit
10.40.41.42,1455,20,1477,UDP,DDoS
172.16.29.29,188,7,922,TCP,Bot
192.168.18.18,24,1,344,UDP,Legit
10.43.44.45,1166,14,1311,UDP,DDoS
